epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.5134,1.98047,5.76634,1.64753,0.00589,0.04082,0.00638,0.0035,1.82958,5.83498,1.88659,2.499e-05,2.499e-05,2.499e-05
2,108.667,1.58087,4.6183,1.38864,0.16262,0.09851,0.02926,0.01514,1.59394,5.43351,1.51846,3.90677e-05,3.90677e-05,3.90677e-05
3,161.453,1.51355,4.13373,1.29737,0.02058,0.10871,0.0295,0.01678,1.54343,5.19052,1.41729,3.11542e-05,3.11542e-05,3.11542e-05
